日期,日降雨量
2024/1/1,0.714506784
2024/1/2,0.923780574
2024/1/3,1.0905276240000001
2024/1/4,0.062974131
2024/1/5,0.017759474
2024/1/6,0.029471126
2024/1/7,0.10406091
2024/1/8,0.028031207000000002
2024/1/9,0.045502663
2024/1/10,0.486129566
2024/1/11,0.21858551
2024/1/12,0.024095302000000002
2024/1/13,0.002015942
2024/1/14,0.002783934
2024/1/15,0.0060478319999999995
2024/1/16,0.076317736
2024/1/17,0.156187363
2024/1/18,0.010079746
2024/1/19,0.11145269699999999
2024/1/20,0.7167147229999999
2024/1/21,4.83384048
2024/1/22,2.548820323
2024/1/23,0.970531186
2024/1/24,0.901893222
2024/1/25,0.26620009699999997
2024/1/26,0.119708447
2024/1/27,0.440242927
2024/1/28,0.21772153600000002
2024/1/29,0.022271352
2024/1/30,0.032447034
2024/1/31,0.009791704
2024/2/1,0.022943337
2024/2/2,0.167995025
2024/2/3,2.87425066
2024/2/4,0.286647508
2024/2/5,0.26725606399999996
2024/2/6,0.40059610700000003
2024/2/7,0.20447392600000003
2024/2/8,0.26735206100000003
2024/2/9,0.076605736
2024/2/10,0.0022079820000000003
2024/2/11,0.0009599999999999999
2024/2/12,0.000768
2024/2/13,0.000192
2024/2/14,0.0026879359999999997
2024/2/15,0.004031918
2024/2/16,0.000479994
2024/2/17,0.000768
2024/2/18,0.001248
2024/2/19,0.001152
2024/2/20,0.00144
2024/2/21,0.211385746
2024/2/22,0.661612356
2024/2/23,0.32591032600000003
2024/2/24,0.768553182
2024/2/25,0.04905454099999999
2024/2/26,0.068061978
2024/2/27,0.046654624000000006
2024/2/28,0.145435684
2024/2/29,0.374868872
2024/3/1,3.489918028
2024/3/2,2.078979891
2024/3/3,0.39844377200000003
2024/3/4,0.701928495
2024/3/5,2.191950355
2024/3/6,3.487718777
2024/3/7,4.252649634
2024/3/8,2.301900049
2024/3/9,2.2377908769999997
2024/3/10,3.824552133
2024/3/11,0.6782082490000001
2024/3/12,1.420999226
2024/3/13,2
2024/3/14,0
2024/3/15,0
2024/3/16,0
2024/3/17,0
2024/3/18,0
2024/3/19,0.051
2024/3/20,0.149
2024/3/21,0
2024/3/22,0
2024/3/23,0
2024/3/24,0
2024/3/25,0
2024/3/26,0
2024/3/27,4.179
2024/3/28,5.183
2024/3/29,0.039
2024/3/30,1.066
2024/3/31,2.134
2024/4/1,0
2024/4/2,0
2024/4/3,0
2024/4/4,0
2024/4/5,0.086
2024/4/6,0.391
2024/4/7,0.323
2024/4/8,0
2024/4/9,0
2024/4/10,0.215
2024/4/11,0.185
2024/4/12,0
2024/4/13,0
2024/4/14,0
2024/4/15,0
2024/4/16,0
2024/4/17,2.149
2024/4/18,3.257
2024/4/19,4.497
2024/4/20,6.45
2024/4/21,0.901
2024/4/22,3.199
2024/4/23,4.241
2024/4/24,0.26
2024/4/25,0
2024/4/26,0
2024/4/27,0
2024/4/28,0
2024/4/29,0.49
2024/4/30,1.744
2024/5/1,1.566
2024/5/2,0
2024/5/3,0.213
2024/5/4,4.776
2024/5/5,0.011
2024/5/6,6.953
2024/5/7,10.717
2024/5/8,5.388
2024/5/9,3.532
2024/5/10,0.221
2024/5/11,4.495
2024/5/12,1.293
2024/5/13,0
2024/5/14,0
2024/5/15,16.232
2024/5/16,0.904
2024/5/17,2.978
2024/5/18,1.087
2024/5/19,4.399
2024/5/20,0
2024/5/21,0
2024/5/22,0
2024/5/23,0
2024/5/24,0
2024/5/25,0.365
2024/5/26,47.635
2024/5/27,9.4
2024/5/28,0.8
2024/5/29,0.394
2024/5/30,2.006
2024/5/31,0
2024/6/1,0.2
2024/6/2,4.2
2024/6/3,0.743
2024/6/4,2.657
2024/6/5,3.622
2024/6/6,0.178
2024/6/7,11.2
2024/6/8,0.4
2024/6/9,4.427
2024/6/10,1.173
2024/6/11,13.765
2024/6/12,0.035
2024/6/13,0
2024/6/14,7.069
2024/6/15,0.131
2024/6/16,0
2024/6/17,12.201
2024/6/18,4.157
2024/6/19,9.842
2024/6/20,16.4
2024/6/21,0.002
2024/6/22,0.462
2024/6/23,4.758
2024/6/24,0.305
2024/6/25,0.072
2024/6/26,0.003
2024/6/27,3.597
2024/7/1,2.992
2024/7/2,0.208
2024/7/3,0.216
2024/7/4,58.115
2024/7/5,0.268
2024/7/6,0
2024/7/7,0
2024/7/8,0
2024/7/9,0
2024/7/10,7.071
2024/9/11,0.461
2024/9/12,0.539
2024/9/13,0
2024/9/14,0.595
2024/9/15,2.482
2024/9/16,8.143
2024/9/17,13.979
2024/9/18,0.001
2024/9/19,0
2024/9/20,2.35
2024/9/21,17.184
2024/9/22,0.066
2024/9/23,0
2024/9/24,0
2024/9/25,18.26
2024/9/26,1.689
2024/9/27,0.051
2024/9/28,0
2024/9/29,2.737
2024/9/30,9.229
2024/10/1,0.834
2024/10/2,0
2024/10/5,0.518
2024/10/6,1.082
2024/10/7,4.2
