日期,日降雨量
2023/1/1,1.747288325
2023/1/2,3.1603973640000005
2023/1/3,0.85711204
2023/1/4,1.7117568720000003
2023/1/5,1.941542946000001
2023/1/6,0.20139123799999994
2023/1/7,0.006217824000000004
2023/1/8,0.04324708000000001
2023/1/9,0.09866247799999996
2023/1/10,0.266441917
2023/1/11,0.36540293800000007
2023/1/12,0.17643436599999995
2023/1/13,2.051950933
2023/1/14,3.953365291
2023/1/15,3.9433341409999993
2023/1/16,1.412904243
2023/1/17,2.6154430840000003
2023/1/18,0.6362897760000001
2023/1/19,0.41000899200000007
2023/1/20,0.950963331
2023/1/21,1.06331923
2023/1/22,0.7256750660000002
2023/1/23,4.414908280000001
2023/1/24,4.726883204999999
2023/1/25,0.18720361099999996
2023/1/26,2.1549145619999996
2023/1/27,3.9252722919999994
2023/1/28,0.6715298469999996
2023/1/29,0.012566450000000009
2023/1/30,0.006217824000000004
2023/1/31,0.04687865999999996
2023/2/1,0.23137655899999995
2023/2/2,1.4540220220000004
2023/2/3,0.332030088
2023/2/4,2.133488431999999
2023/2/5,1.465066676
2023/2/6,1.7778985569999999
2023/2/7,3.459686636
2023/2/8,2.312532245
2023/2/9,1.9114077520000001
2023/2/10,1.163675422
2023/2/11,1.0677078119999999
2023/2/12,5.228186195999999
2023/2/13,5.775683108000001
2023/2/14,1.5669598880000006
2023/2/15,1.7826715800000001
2023/2/16,0.524011778
2023/2/17,0.10124205499999996
2023/2/18,2.087397984
2023/2/19,1.0721121550000001
2023/2/20,1.600330343
2023/2/21,3.861739747
2023/2/22,3.580884861999999
2023/2/23,3.150995779
2023/2/24,2.6508930379999995
2023/2/25,1.281329748
2023/2/26,0.036641151
2023/2/27,0.286377659
2023/2/28,1.858615475
2023/3/1,4.525968059999999
2023/3/2,2.9271718310000003
2023/3/3,2.292824661999999
2023/3/4,0.7718472829999998
2023/3/5,0.6453586349999999
2023/3/6,2.1722575600000003
2023/3/7,3.028345643999999
2023/3/8,2.2496360399999986
2023/3/9,0.9363847969999998
2023/3/10,1.9746674220000002
2023/3/11,7.303784869999999
2023/3/12,19.985439648999996
2023/3/13,1.5766459260000012
2023/3/14,0.22017108900000001
2023/3/15,1.196680481
2023/3/16,2.6906632669999997
2023/3/17,2.2747155169999997
2023/3/18,2.6639669599999998
2023/3/19,1.6225300310000004
2023/3/20,1.287305747
2023/3/21,1.6625303889999998
2023/3/22,6.254273002
2023/3/23,3.5770581960000003
2023/3/24,1.6495642069999996
2023/3/25,3.20340793
2023/3/26,4.739200302
2023/3/27,5.804614633000002
2023/3/28,4.596249322999999
2023/3/29,1.467863745
2023/3/30,0.4227284990000001
2023/3/31,2.1301519239999998
2023/4/1,0.187520556
2023/4/2,1.037704405
2023/4/3,2.6372872019999996
2023/4/4,1.5941497700000002
2023/4/5,4.983596722
2023/4/6,6.270389289999999
2023/4/7,1.654669104
2023/4/8,1.4173423890000003
2023/4/9,0.8658917219999999
2023/4/10,1.1247992819999997
2023/4/11,2.646861847
2023/4/12,0.5334120809999998
2023/4/13,1.7175361630000001
2023/4/14,8.321658242
2023/4/15,8.82170210500001
2023/4/16,0.03690112399999999
2023/4/17,1.2883300270000002
2023/4/18,8.815162749000004
2023/4/19,2.6954567149999993
2023/4/20,5.636366874999999
2023/4/21,5.605009574000001
2023/4/22,4.141978865
2023/4/23,3.4433586149999993
2023/4/24,4.214443599999999
2023/4/25,0.7843046919999995
2023/4/26,2.1433090079999997
2023/4/27,0.8664632369999998
2023/4/28,13.999289024000001
2023/4/29,3.316871999999999
2023/4/30,0.26541120100000015
2023/5/1,0.48446918299999997
2023/5/2,0.9962812469999999
2023/5/3,0.26340539
2023/5/4,1.4238539560000003
2023/5/5,3.937726513
2023/5/6,5.407868414
2023/5/7,3.2429659639999997
2023/5/8,7.223793541999999
2023/5/9,6.4712347239999986
2023/5/10,7.278029477999999
2023/5/11,5.700958679000001
2023/5/12,0.8614707579999998
2023/5/13,0.7213439249999997
2023/5/14,0.009666983000000002
2023/5/15,0.197480644
2023/5/16,0.127530912
2023/5/17,2.6667269009999996
2023/5/18,5.086712209000001
2023/5/19,10.41067697
2023/5/20,3.3357001869999987
2023/5/21,8.080015677
2023/5/22,2.349601666999999
2023/5/23,0.174430755
2023/5/24,0.656195589
2023/5/25,3.0751228690000003
2023/5/26,1.3184803720000002
2023/5/27,2.700990521
2023/5/28,1.192361254
2023/5/29,1.7307326950000002
2023/5/30,6.552359719999999
2023/5/31,12.876982518000002
2023/6/1,21.217555396000005
2023/6/2,6.4217390199999995
2023/6/3,5.392377492
2023/6/4,4.177274874
2023/6/5,3.262225683000001
2023/6/6,0.23953961099999999
2023/6/7,2.729362504
2023/6/8,7.138881324999999
2023/6/9,0.7685514589999995
2023/6/10,0.006217824000000004
2023/6/11,0.5859187030000002
2023/6/12,10.310969817000002
2023/6/13,4.296633705
2023/6/14,17.090030158000005
2023/6/15,8.189083805000001
2023/6/16,2.1138339930000005
2023/6/17,2.5513956789999996
2023/6/18,2.930325493
2023/6/19,12.428232216000003
2023/6/20,9.304995827
2023/6/21,17.877160699999997
2023/6/22,1.0633019380000006
2023/6/23,2.0979902219999995
2023/6/24,1.218575715
2023/6/25,0.11391706700000001
2023/6/26,0.3597134300000001
2023/6/27,0.006676765000000003
2023/6/28,3.0774200069999997
2023/6/29,5.331794402
2023/6/30,4.963777341
2023/7/1,2.3005153810000003
2023/7/2,2.9547870489999997
2023/7/3,28.754870529999998
2023/7/4,17.69839758699999
2023/7/5,0.006217824000000004
2023/7/6,0.425784986
